Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Argentina,"RW, ST, CF",RW,ATT,L. Messi,33,170cm,72kg,FC Barcelona,2004,2021,93,93,€103.5M,103500000.0,€560K,560000.0,€138.4M
Portugal,"ST, LW",ST,ATT,Cristiano Ronaldo,35,187cm,83kg,Juventus,2018,2022,92,92,€63M,63000000.0,€220K,220000.0,€75.9M
Slovenia,GK,GK,GK,J. Oblak,27,188cm,87kg,Atlético Madrid,2014,2023,91,93,€120M,120000000.0,€125K,125000.0,€159.4M
Belgium,"CAM, CM",CAM,MID,K. De Bruyne,29,181cm,70kg,Manchester City,2015,2023,91,91,€129M,129000000.0,€370K,370000.0,€161M
Brazil,"LW, CAM",LW,ATT,Neymar Jr,28,175cm,68kg,Paris Saint-Germain,2017,2022,91,91,€132M,132000000.0,€270K,270000.0,€166.5M
Poland,ST,ST,ATT,R. Lewandowski,31,184cm,80kg,FC Bayern München,2014,2023,91,91,€111M,111000000.0,€240K,240000.0,€132M
Egypt,RW,RW,ATT,M. Salah,28,175cm,71kg,Liverpool,2017,2023,90,90,€120.5M,120500000.0,€250K,250000.0,€144.3M
Brazil,GK,GK,GK,Alisson,27,191cm,91kg,Liverpool,2018,2024,90,91,€102M,102000000.0,€160K,160000.0,€120.3M
France,"ST, LW, RW",ST,ATT,K. Mbappé,21,178cm,73kg,Paris Saint-Germain,2018,2022,90,95,€185.5M,185500000.0,€160K,160000.0,€203.1M
Germany,GK,GK,GK,M. ter Stegen,28,187cm,85kg,FC Barcelona,2014,2022,90,93,€110M,110000000.0,€260K,260000.0,€147.7M
Netherlands,CB,CB,DEF,V. van Dijk,28,193cm,92kg,Liverpool,2018,2023,90,91,€113M,113000000.0,€210K,210000.0,€145.3M
Senegal,LW,LW,ATT,S. Mané,28,175cm,69kg,Liverpool,2016,2023,90,90,€120.5M,120500000.0,€250K,250000.0,€144.3M
Brazil,CDM,CDM,MID,Casemiro,28,185cm,84kg,Real Madrid,2013,2023,89,89,€90.5M,90500000.0,€310K,310000.0,€122M
Belgium,GK,GK,GK,T. Courtois,28,199cm,96kg,Real Madrid,2018,2024,89,90,€82M,82000000.0,€250K,250000.0,€119M
Germany,GK,GK,GK,M. Neuer,34,193cm,92kg,FC Bayern München,2011,2023,89,89,€17.5M,17500000.0,€130K,130000.0,€47.9M
France,"CF, ST",CF,ATT,K. Benzema,32,185cm,81kg,Real Madrid,2009,2022,89,89,€83.5M,83500000.0,€350K,350000.0,€108.7M
Spain,CB,CB,DEF,Sergio Ramos,34,184cm,82kg,Real Madrid,2005,2021,89,89,€33.5M,33500000.0,€300K,300000.0,€50.2M
Argentina,ST,ST,ATT,S. Agüero,32,173cm,70kg,Manchester City,2011,2021,89,89,€83.5M,83500000.0,€300K,300000.0,€98.1M
England,"LW, RW",LW,ATT,R. Sterling,25,170cm,69kg,Manchester City,2015,2023,88,90,€114.5M,114500000.0,€270K,270000.0,€139.6M
France,"CDM, CM",CDM,MID,N. Kanté,29,168cm,70kg,Chelsea,2016,2023,88,88,€78M,78000000.0,€190K,190000.0,€96.9M
Germany,"CDM, RB",CDM,MID,J. Kimmich,25,176cm,73kg,FC Bayern München,2015,2023,88,90,€103M,103000000.0,€145K,145000.0,€112.1M
Argentina,"CF, CAM",CAM,MID,P. Dybala,26,177cm,75kg,Juventus,2015,2022,88,89,€109M,109000000.0,€190K,190000.0,€122.5M
Brazil,GK,GK,GK,Ederson,26,188cm,86kg,Manchester City,2017,2024,88,91,€92M,92000000.0,€195K,195000.0,€103M
England,ST,ST,ATT,H. Kane,26,188cm,89kg,Tottenham Hotspur,2010,2024,88,89,€109M,109000000.0,€220K,220000.0,€140.2M
Slovenia,GK,GK,GK,S. Handanovič,35,193cm,92kg,Inter,2012,2021,88,88,€10M,10000000.0,€100K,100000.0,€27.2M
Senegal,CB,CB,DEF,K. Koulibaly,29,187cm,89kg,Napoli,2014,2023,88,88,€76.5M,76500000.0,€140K,140000.0,€85M
Belgium,"LW, ST",LW,ATT,E. Hazard,29,175cm,74kg,Real Madrid,2019,2024,88,88,€89.5M,89500000.0,€350K,350000.0,€118.9M
Germany,CM,CM,MID,T. Kroos,30,183cm,76kg,Real Madrid,2014,2023,88,88,€87.5M,87500000.0,€310K,310000.0,€112.8M
France,"ST, CF, LW",ST,ATT,A. Griezmann,29,176cm,73kg,FC Barcelona,2019,2024,87,87,€79.5M,79500000.0,€290K,290000.0,€103.5M
England,"RM, LM, CAM",CAM,MID,J. Sancho,20,180cm,76kg,Borussia Dortmund,2017,2023,87,93,€124M,124000000.0,€82K,82000.0,€132.1M
England,RB,RB,DEF,T. Alexander-Arnold,21,180cm,69kg,Liverpool,2015,2024,87,92,€114M,114000000.0,€110K,110000.0,€115.5M
Portugal,"RW, CAM, CM",RW,ATT,Bernardo Silva,25,173cm,64kg,Manchester City,2017,2025,87,88,€95M,95000000.0,€230K,230000.0,€115.5M
Scotland,LB,LB,DEF,A. Robertson,26,178cm,64kg,Liverpool,2017,2024,87,89,€90.5M,90500000.0,€155K,155000.0,€102M
France,CB,CB,DEF,A. Laporte,26,189cm,85kg,Manchester City,2018,2024,87,90,€92.5M,92500000.0,€200K,200000.0,€107.8M
Portugal,"CAM, CM",CAM,MID,Bruno Fernandes,25,179cm,69kg,Manchester United,2020,2025,87,90,€105.5M,105500000.0,€195K,195000.0,€124.4M
Brazil,CDM,CDM,MID,Fabinho,26,188cm,78kg,Liverpool,2018,2023,87,89,€88.5M,88500000.0,€155K,155000.0,€104.9M
Korea Republic,"LM, CF",LM,MID,H. Son,27,183cm,78kg,Tottenham Hotspur,2015,2023,87,87,€85M,85000000.0,€165K,165000.0,€99.8M
Brazil,CF,CF,ATT,Roberto Firmino,28,181cm,76kg,Liverpool,2015,2023,87,87,€81.5M,81500000.0,€190K,190000.0,€96.2M
Costa Rica,GK,GK,GK,K. Navas,33,185cm,80kg,Paris Saint-Germain,2019,2023,87,87,€26M,26000000.0,€110K,110000.0,€50M
Italy,CB,CB,DEF,G. Chiellini,35,187cm,85kg,Juventus,2005,2021,87,87,€21M,21000000.0,€95K,95000.0,€25.6M
Spain,"CDM, CM",CDM,MID,Sergio Busquets,31,189cm,76kg,FC Barcelona,2008,2023,87,87,€56M,56000000.0,€240K,240000.0,€77.9M
Gabon,"ST, LW",ST,ATT,P. Aubameyang,31,187cm,80kg,Arsenal,2018,2023,87,87,€67.5M,67500000.0,€170K,170000.0,€85.5M
Poland,GK,GK,GK,W. Szczęsny,30,195cm,90kg,Juventus,2017,2024,87,87,€53M,53000000.0,€105K,105000.0,€56.1M
Argentina,"RW, LW",RW,ATT,A. Di María,32,180cm,69kg,Paris Saint-Germain,2015,2021,87,87,€63M,63000000.0,€160K,160000.0,€72.2M
